meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
,Super Mario 3D World + Bowser's Fury,Switch,"Feb 12, 2021",,/game/switch/super-mario-3d-world-+-bowsers-fury,,['Nintendo'],"['Action', 'Platformer', '3D']"
,Super Smash Bros. Ultimate: Sephiroth,Switch,"Dec 22, 2020",,/game/switch/super-smash-bros-ultimate-sephiroth,,['Nintendo'],"['Action', '2D', 'Fighting']"
66,Fitness Boxing 2: Rhythm & Exercise,Switch,"Dec 4, 2020",6.2,/game/switch/fitness-boxing-2-rhythm-exercise,E,"['Nintendo', ' Imagineer Co.', 'Ltd.']","['Miscellaneous', 'Exercise / Fitness']"
63,Fire Emblem: Shadow Dragon & the Blade of Light,Switch,"Dec 4, 2020",7.6,/game/switch/fire-emblem-shadow-dragon-the-blade-of-light,E,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
79,Hyrule Warriors: Age of Calamity,Switch,"Nov 20, 2020",8.1,/game/switch/hyrule-warriors-age-of-calamity,T,"['Omega Force', ' Koei Tecmo Games']","['Action', ""Beat-'Em-Up"", '3D']"
,Pokemon Sword + Pokemon Sword Expansion Pass,Switch,"Nov 6, 2020",6.7,/game/switch/pokemon-sword-+-pokemon-sword-expansion-pass,E,['Game Freak'],"['Role-Playing', 'Trainer']"
,Pokemon Shield + Pokemon Shield Expansion Pass,Switch,"Nov 6, 2020",6.6,/game/switch/pokemon-shield-+-pokemon-shield-expansion-pass,E,['Game Freak'],"['Role-Playing', 'Trainer']"
85,Pikmin 3 Deluxe,Switch,"Oct 30, 2020",8.4,/game/switch/pikmin-3-deluxe,E10+,"['Eighting', ' Nintendo']","['Strategy', 'Real-Time', 'General']"
79,Part Time UFO,Switch,"Oct 28, 2020",7.3,/game/switch/part-time-ufo,E10+,['HAL Labs'],"['Action', 'Arcade']"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,Switch,"Oct 23, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---complete-edition,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
75,Pokemon Sword / Shield: The Crown Tundra,Switch,"Oct 22, 2020",7.4,/game/switch/pokemon-sword-shield-the-crown-tundra,,['Game Freak'],"['Role-Playing', 'Trainer']"
